driver_id,total_fare,avg_distance
76,87.06,19.14
87,136.83,8.47
3,74.6,22.055
61,108.98,1.43
67,39.46,28.97
12,99.98,3.15
70,97.53,3.9
97,26.54,14.62
90,129.46,23.86
36,65.59,4.49
26,88.46,22.16
62,210.35,20.560000000000002
33,105.63,14.07
19,42.52,5.52
5,92.18,22.080000000000002
93,183.79,29.1
41,70.38,20.64
82,63.09,49.78
38,153.38,20.81
13,136.28,34.39
84,21.36,43.24
28,36.68,24.68
15,14.39,36.04
78,138.25,22.3
40,113.89,4.26
25,139.99,17.12666666666667
95,141.32,32.24
51,77.73,31.24
35,23.09,38.12
48,130.73,29.8
55,27.03,8.86
