driver_id,total_fare,avg_distance
76,87.06,19.14
87,136.83,8.47
60,61.82,46.6
61,108.98,1.43
71,148.6,25.84
12,99.98,3.15
36,199.54,7.855
3,74.6,22.055
67,39.46,28.97
70,97.53,3.9
97,26.54,14.62
90,129.46,23.86
26,88.46,22.16
46,116.48,42.01
9,20.71,18.65
14,57.14,16.22
5,92.18,22.080000000000002
82,63.09,49.78
38,153.38,20.81
13,136.28,34.39
15,14.39,36.04
62,210.35,20.560000000000002
100,64.47,35.42
33,105.63,14.07
19,42.52,5.52
93,183.79,29.1
41,70.38,20.64
84,21.36,43.24
28,36.68,24.68
78,138.25,22.3
40,113.89,4.26
25,139.99,17.12666666666667
95,141.32,32.24
51,127.35,25.415
35,23.09,38.12
48,130.73,29.8
55,54.43,20.119999999999997
