driver_id,total_fare,avg_distance
76,87.06,19.14
87,136.83,8.47
60,110.94,40.485
57,18.86,32.96
61,115.38000000000001,1.2650000000000001
71,148.6,25.84
12,149.83,13.405
36,199.54,7.855
3,305.39,22.17
67,39.46,28.97
70,206.55,23.169999999999998
86,54.95,21.52
97,26.54,14.62
90,129.46,23.86
26,114.25999999999999,19.805
46,250.01999999999998,42.535
9,20.71,18.65
54,21.3,19.85
14,57.14,16.22
52,26.86,32.41
5,92.18,22.080000000000002
82,96.62,43.97
38,153.38,20.81
13,150.55,40.69
15,14.39,36.04
22,45.209999999999994,41.815
62,210.35,20.560000000000002
100,64.47,35.42
23,130.62,6.56
33,105.63,14.07
19,42.52,5.52
42,113.65,10.38
93,189.31,30.78
41,70.38,20.64
84,21.36,43.24
28,36.68,24.68
78,175.12,30.35
40,113.89,4.26
25,252.60000000000002,14.755
10,87.39,39.92
95,141.32,32.24
51,283.31,24.345
35,23.09,38.12
48,269.84,19.786666666666665
55,118.49000000000001,29.816666666666663
