driver_id,total_fare,avg_distance
87,136.83,8.47
57,18.86,32.96
71,148.6,25.84
85,54.17,21.7
1,18.5,26.29
3,305.39,22.17
4,187.88,36.35666666666666
73,41.14,15.55
86,54.95,21.52
34,98.71,44.42
99,108.18,11.09
90,129.46,23.86
76,143.48000000000002,25.185000000000002
60,110.94,40.485
61,115.38000000000001,1.2650000000000001
72,161.06,24.61
12,149.83,13.405
8,6.01,33.93
36,199.54,7.855
44,119.83,20.53
67,172.62,33.07
70,274.29,26.0
97,26.54,14.62
26,114.25999999999999,19.805
46,250.01999999999998,42.535
9,65.32,18.555
58,129.48,41.88
54,21.3,19.85
14,57.14,16.22
52,26.86,32.41
5,92.18,22.080000000000002
82,154.42000000000002,33.54333333333333
38,153.38,20.81
13,150.55,40.69
15,14.39,36.04
22,45.209999999999994,41.815
62,210.35,20.560000000000002
100,64.47,35.42
23,130.62,6.56
33,105.63,14.07
19,42.52,5.52
42,113.65,10.38
93,189.31,30.78
41,70.38,20.64
84,21.36,43.24
28,36.68,24.68
78,175.12,30.35
40,113.89,4.26
25,252.60000000000002,14.755
10,87.39,39.92
95,141.32,32.24
51,430.52,27.201999999999998
35,160.29,30.705
48,332.48999999999995,22.53
55,118.49000000000001,29.816666666666663
